time,symbol,score,signal,position,action,close_price
2025-01-01 00:00:00,BTC,49.6,中性,flat,hold,94868.42
2025-01-01 00:00:00,ETH,51.1,中性,flat,hold,3408.62
2025-01-01 00:00:00,SOL,62.9,多,long,open_long,198.95
2025-01-01 04:00:00,BTC,35.0,空,short,open_short,93564.04
2025-01-01 04:00:00,ETH,39.3,空,short,open_short,3346.2
2025-01-01 04:00:00,SOL,41.2,空,flat,reduce_long,194.02
2025-01-01 08:00:00,BTC,53.9,中性,flat,reduce_short,94401.14
2025-01-01 08:00:00,ETH,50.7,中性,flat,reduce_short,3363.7
2025-01-01 08:00:00,SOL,51.3,中性,flat,hold,192.54
2025-01-01 12:00:00,BTC,40.9,空,short,open_short,93553.91
2025-01-01 12:00:00,ETH,46.6,中性,flat,hold,3341.14
2025-01-01 12:00:00,SOL,46.9,中性,flat,hold,189.47
2025-01-01 16:00:00,BTC,44.9,空,flat,reduce_short,93428.46
2025-01-01 16:00:00,ETH,43.3,空,short,open_short,3337.01
2025-01-01 16:00:00,SOL,42.6,空,short,open_short,189.4
2025-01-01 20:00:00,BTC,47.0,中性,flat,hold,93820.76
2025-01-01 20:00:00,ETH,43.3,空,short,hold,3347.46
2025-01-01 20:00:00,SOL,44.3,空,flat,reduce_short,190.95
2025-01-02 00:00:00,BTC,49.7,中性,flat,hold,94090.49
2025-01-02 00:00:00,ETH,45.4,中性,flat,reduce_short,3338.68
2025-01-02 00:00:00,SOL,35.8,空,short,open_short,190.51
2025-01-02 04:00:00,BTC,57.3,多,long,open_long,94786.23
2025-01-02 04:00:00,ETH,52.3,中性,flat,hold,3360.4
2025-01-02 04:00:00,SOL,56.1,多,flat,reduce_short,194.36
2025-01-02 08:00:00,BTC,48.2,中性,flat,reduce_long,95128.59
2025-01-02 08:00:00,ETH,48.2,中性,flat,hold,3389.92
2025-01-02 08:00:00,SOL,55.0,多,long,open_long,196.25
2025-01-02 12:00:00,BTC,57.8,多,long,open_long,95708.07
2025-01-02 12:00:00,ETH,56.4,多,long,open_long,3417.69
2025-01-02 12:00:00,SOL,70.4,多,long,hold,204.47
2025-01-02 16:00:00,BTC,54.2,中性,flat,reduce_long,96150.0
2025-01-02 16:00:00,ETH,55.4,多,flat,reduce_long,3437.93
2025-01-02 16:00:00,SOL,59.5,多,flat,reduce_long,206.8
2025-01-02 20:00:00,BTC,57.4,多,long,open_long,96850.01
2025-01-02 20:00:00,ETH,58.9,多,long,open_long,3480.48
2025-01-02 20:00:00,SOL,57.8,多,long,open_long,208.39
2025-01-03 00:00:00,BTC,55.3,多,flat,reduce_long,97229.74
2025-01-03 00:00:00,ETH,51.4,中性,flat,reduce_long,3469.54
2025-01-03 00:00:00,SOL,55.3,多,flat,reduce_long,207.45
2025-01-03 04:00:00,BTC,49.8,中性,flat,hold,97306.46
